;Ru;En
man_in_van;Мужчина в фургоне.;Man fron the van.
here_is_my_house;Вот мой дом, сделай фотографии всех детей тебе же нужны деньги.;Here is my house, Take photos of all the children, you need money.
if_i_run_out_of_film;Если закончится плёнка, приходи, за качественные фото хорошо заплачу.;If I run out of film, come back, I'll pay well for quality photos.
van;Фургон;Van
what_do_you_want?;Чего тебе?;What do you want?
buy_film;Купить кадр плёнки (50$);Buy film (50$)
why_aren't_you_at_your;Почему вы не на празднике у своего ребенка?;Why aren't you at your child's party?
sell_photos;Продать фотографии.;Sell photos.
i_had_a_fight_with_my_son;С сыном поссорился, не хочет меня видеть.;I had a fight with my son and he doesn't want to see me.
oh_im_sorry;Ох, мне жаль.;Oh, I'm sorry.
mind;Разум;Mind
im_out_of_film;У меня закончилась плёнка.;I'm out of film.
film_the_children;Детей на фото продано;The children in the photo have been sold
no_goods_no_money;Нет товара, нет денег.;No goods, no money.
door;Дверь;Door
no_money_no_honey;Нет денег - нет товара.;No money, no honey.
warning;<color=#FF0000>ВНИМАНИЕ:</color> Игра содержит психологическое напряжение и тревожные темы. Рекомендуется игрокам от 16 лет.;<color=#FF0000>WARNING:</color> This game contains psychological tension and disturbing themes. This game is recommended for players 16 years and older.
can_open_inside;Дверь заперта. Но думаю я смогу открыть её изнутри.;The door is locked. But I think I can open it from the inside.
photo_collection;Коллекция фото;Photo collection
Close;Закрыть;Close
i_for_close;<color=#FF0000>"TAB" чтобы закрыть</color>;<color=#FF0000>"TAB" for close</color>
boy;Мальчик;Boy
great_kids_for_my_collection;Отличные детишки для моей коллекции...;Great kids for my collection...
why_are_you_doing_this_to_us;За что ты так с нами?;Why are you doing this to us?
you_had_suspicions_that_something_was_wrong;Ты ведь всё понимала...;You had suspicions that something was wrong...
this_work_became_reminder;Эта работа стала напоминанием: ни одна выгода не стоит твоего молчаливого соучастия. Самые страшные преступления совершаются при равнодушии тех, кто предпочел не видеть.;This work became a reminder: no gain is worth your silent complicity. The most terrible crimes are committed with the indifference of those who choose not to see.
dad_didnt_come_to_my_birthday_again;Папа опять не пришел ко мне на день рождения...;Dad didn't come to my birthday again...
alice;Алиса;Alice
let_me_take_a_nice_photo_of_you;Не грусти... давай я тебя красиво сфоткаю?;Don't be sad... let me take a nice photo of you?
ok;Хорошо.;Ok.
tutor;ПКМ - достать/убрать фотоаппарат\nЛКМ - сделать снимок\nE - взаимодействовать\nTAB - открыть каталог;RMB - take out/put away the camera\nLMB - take a picture\nE - interact\nTAB - open the catalog
;;
